Date,Open,High,Low, Close,Gain,loss,Av Gain,Av Loss,RS,RSA,,,,
3/29/2018,41.952499,42.9375,41.724998,40.170265,,,,,,,,,,
4/2/2018,41.66,42.235001,41.1175,39.906895,0,0.26337,,,,,,,,
4/3/2018,41.91,42.1875,41.220001,40.316315,0.40942,0,,,,,,,,
4/4/2018,41.220001,43.002499,41.192501,41.087254,0.770939,0,,,,,,,,
4/5/2018,43.145,43.557499,43.02,41.372166,0.284912,0,,,,,,,,
4/6/2018,42.7425,43.119999,42.049999,40.313915,0,1.058251,,,,,,,,
4/9/2018,42.470001,43.272499,42.462502,40.713749,0.399834,0,,,,,,,,
4/10/2018,43.25,43.5,42.8825,41.479897,0.766148,0,,,,,,,,
4/11/2018,43.057499,43.48,42.924999,41.285973,0,0.193924,,,,,,,,
4/12/2018,43.352501,43.75,43.259998,41.692982,0.407009,0,,,,,,,,0
4/13/2018,43.695,43.959999,43.462502,41.834248,0.141266,0,,,,,,,,
4/16/2018,43.7575,44.047501,43.7075,42.095226,0.260978,0,,,,,,,,
4/17/2018,44.122501,44.735001,44.102501,42.674618,0.579392,0,,,,,,,,
4/18/2018,44.452499,44.705002,44.220001,42.57885,0,0.095768,,,,,,,,
4/19/2018,43.439999,43.8475,43.165001,41.372166,0,1.206684,0.287135571,0.2012855,1.426508971,58.78853068,,,,
4/20/2018,42.650002,42.805,41.357498,39.677052,0,1.695114,0.266625888,0.307987536,0.8657035,46.40091527,,,,
4/23/2018,41.7075,41.73,41.022499,39.562134,0,0.114918,0.247581181,0.294196855,0.841549383,45.69789932,,,,
4/24/2018,41.4175,41.5825,40.305,39.011459,0,0.550675,0.229896811,0.312516722,0.735630432,42.38404781,,,,
4/25/2018,40.654999,41.355,40.602501,39.181446,0.169987,0,0.225617539,0.290194099,0.777471147,43.74029634,,,,
4/26/2018,41.029999,41.432499,40.842499,39.317917,0.136471,0,0.219249929,0.269465949,0.813646139,44.86245258,,,,
